gbifid;decimallongitude;decimallatitude;ISO_CC;CONTINENT;COUNTRY;speciesKey
147582360;-8.36666666666676;6.941666666666666;LBR;Africa;Liberia;2798175
147582361;-8.358333333333427;6.941666666666666;LBR;Africa;Liberia;2798175
147582362;-8.350000000000094;6.941666666666666;LBR;Africa;Liberia;2798175
147582363;-8.341666666666761;6.941666666666666;LBR;Africa;Liberia;2798175
147582364;-8.333333333333428;6.941666666666666;LBR;Africa;Liberia;2798175
147582365;-8.325000000000095;6.941666666666666;LBR;Africa;Liberia;2798175
147582366;-10.0;6.95;LBR;Africa;Liberia;2798175
147582367;-9.991666666666667;6.95;LBR;Africa;Liberia;2798175
147582368;-9.983333333333334;6.95;LBR;Africa;Liberia;2798175
147582369;-9.975;6.95;LBR;Africa;Liberia;2798175
147582370;-9.966666666666669;6.95;LBR;Africa;Liberia;2798175
147582371;-9.958333333333336;6.95;LBR;Africa;Liberia;2798175
147582372;-9.950000000000005;6.95;LBR;Africa;Liberia;2798175
147582373;-9.94166666666667;6.95;LBR;Africa;Liberia;2798175
147582374;-9.933333333333335;6.95;LBR;Africa;Liberia;2798175
147582375;-9.925000000000004;6.95;LBR;Africa;Liberia;2798175
147582376;-9.916666666666671;6.95;LBR;Africa;Liberia;2798175
147582377;-9.90833333333334;6.95;LBR;Africa;Liberia;2798175
147582378;-9.900000000000006;6.95;LBR;Africa;Liberia;2798175
147582379;-9.891666666666673;6.95;LBR;Africa;Liberia;2798175
147582380;-9.88333333333334;6.95;LBR;Africa;Liberia;2798175
147582381;-9.875000000000009;6.95;LBR;Africa;Liberia;2798175
147582382;-9.866666666666674;6.95;LBR;Africa;Liberia;2798175
147582383;-9.85833333333334;6.95;LBR;Africa;Liberia;2798175
147582384;-9.850000000000009;6.95;LBR;Africa;Liberia;2798175
147582385;-9.841666666666676;6.95;LBR;Africa;Liberia;2798175
147582386;-9.833333333333345;6.95;LBR;Africa;Liberia;2798175
147582387;-9.82500000000001;6.95;LBR;Africa;Liberia;2798175
147582388;-9.816666666666675;6.95;LBR;Africa;Liberia;2798175
147582389;-9.808333333333344;6.95;LBR;Africa;Liberia;2798175
147582390;-9.800000000000011;6.95;LBR;Africa;Liberia;2798175
147582391;-9.79166666666668;6.95;LBR;Africa;Liberia;2798175
147582392;-9.783333333333346;6.95;LBR;Africa;Liberia;2798175
147582393;-9.775000000000013;6.95;LBR;Africa;Liberia;2798175
147582394;-9.76666666666668;6.95;LBR;Africa;Liberia;2798175
147582395;-9.758333333333349;6.95;LBR;Africa;Liberia;2798175
147582396;-9.750000000000014;6.95;LBR;Africa;Liberia;2798175
147582397;-9.74166666666668;6.95;LBR;Africa;Liberia;2798175
147582398;-9.733333333333348;6.95;LBR;Africa;Liberia;2798175
147582399;-9.725000000000016;6.95;LBR;Africa;Liberia;2798175
147582400;-9.716666666666685;6.95;LBR;Africa;Liberia;2798175
147582401;-9.70833333333335;6.95;LBR;Africa;Liberia;2798175
147582402;-9.700000000000015;6.95;LBR;Africa;Liberia;2798175
147582403;-9.691666666666684;6.95;LBR;Africa;Liberia;2798175
147582404;-9.683333333333351;6.95;LBR;Africa;Liberia;2798175
147582405;-9.675000000000018;6.95;LBR;Africa;Liberia;2798175
147582406;-9.666666666666686;6.95;LBR;Africa;Liberia;2798175
147582407;-9.658333333333353;6.95;LBR;Africa;Liberia;2798175
147582408;-9.65000000000002;6.95;LBR;Africa;Liberia;2798175
147582409;-9.641666666666689;6.95;LBR;Africa;Liberia;2798175
147582410;-9.633333333333354;6.95;LBR;Africa;Liberia;2798175
147582411;-9.62500000000002;6.95;LBR;Africa;Liberia;2798175
147582412;-9.616666666666688;6.95;LBR;Africa;Liberia;2798175
147582413;-9.608333333333356;6.95;LBR;Africa;Liberia;2798175
147582414;-9.600000000000025;6.95;LBR;Africa;Liberia;2798175
147582415;-9.59166666666669;6.95;LBR;Africa;Liberia;2798175
147582416;-9.583333333333355;6.95;LBR;Africa;Liberia;2798175
147582417;-9.575000000000024;6.95;LBR;Africa;Liberia;2798175
147582418;-9.566666666666691;6.95;LBR;Africa;Liberia;2798175
147582419;-9.558333333333358;6.95;LBR;Africa;Liberia;2798175
147582420;-9.550000000000026;6.95;LBR;Africa;Liberia;2798175
147582421;-9.541666666666693;6.95;LBR;Africa;Liberia;2798175
147582422;-9.53333333333336;6.95;LBR;Africa;Liberia;2798175
147582423;-9.525000000000029;6.95;LBR;Africa;Liberia;2798175
147582424;-9.516666666666694;6.95;LBR;Africa;Liberia;2798175
147582425;-9.50833333333336;6.95;LBR;Africa;Liberia;2798175
147582426;-9.500000000000028;6.95;LBR;Africa;Liberia;2798175
